"A1" "A2" "A3" "B1" "B2" "B3"
"100131089" 38 22 50 110 185 196
"90427" 11269 11855 12868 366 527 491
"701" 2 8 7 147 159 306
"56924" 0 50 2 46 36 56
"644809" 0 0 0 0 2 2
"100131244" 0 0 4 62 64 134
"5330" 20631 26543 27836 22861 23929 24036
"100505573" 1740 1835 1406 1613 1688 2188
"388115" 113 137 151 515 876 1060
"644844" 0 8 2 3 2 13
"85455" 14 2 16 89 99 147
"90417" 175 130 100 616 751 798
"3712" 483 878 1007 2914 3525 4424
"22893" 1093 945 1178 2224 2400 2835
"113189" 222 324 237 217 256 268
"100505617" 26 30 41 19 19 25
"359821" 0 7 4 14 23 25
"90416" 584 513 551 899 1112 1354
"27079" 134 102 188 343 312 366
"57082" 53 35 75 123 267 359
"100505648" 65 89 184 86 112 115
"5888" 36 48 39 159 113 339
"55177" 898 902 857 6761 7125 12661
"2644" 562 595 436 6304 6229 12384
"55192" 137 238 213 394 458 526
"643338" 81 191 190 233 353 215
"84936" 502 339 532 1205 1454 1257
"54866" 0 0 2 0 2 0
"6692" 990 658 823 10314 9705 11287
"171177" 0 0 0 12 6 15
"57617" 2709 2153 2435 3944 4716 5661
"100505662" 12 33 44 25 22 17
"54567" 16 20 12 6 0 0
"79094" 3 0 4 145 125 132
"54617" 2362 2172 2288 2249 2452 2884
"161829" 0 0 0 6 0 6
"11261" 10060 6983 6361 6043 6642 7651
"729082" 653 600 743 2721 2943 3620
"11339" 70 26 43 70 63 195
"51203" 274 173 248 404 524 1039
"51103" 67 60 79 1230 1587 1538
"23168" 5646 4838 4824 3262 4014 4970
"3706" 0 0 0 82 29 46
"4058" 75 41 44 0 0 6
"26015" 309 229 312 1357 1386 1579
"7301" 12 0 6 263 324 410
"23269" 800 984 1757 2115 2688 2552
"693211" 0 0 0 0 0 0
"23005" 929 678 1309 2022 2331 2380
"8681" 638 774 928 165 271 284
"100137047" 0 0 0 0 0 0
"100137049" 0 0 0 0 0 0
"51332" 470 506 410 1673 2414 1159
"100423013" 0 0 0 0 0 0
"100289090" 42 20 0 8 1 0
"30844" 5734 5105 3048 6326 9037 8467
"123745" 0 1 0 4 0 0
"283748" 0 0 0 0 0 0
"255189" 0 0 0 0 0 2
"23339" 4517 4987 4780 4661 5550 6219
"693212" 0 0 4 0 0 0
"25963" 2178 2260 3465 2934 3430 3630
"2595" 766 777 1114 1115 1332 1399
"825" 771 939 1470 953 1178 1261
"64397" 9568 13592 14706 8436 9857 10485
"8773" 2868 4010 3159 6223 8308 7153
"100505769" 15 44 32 23 56 52
"255252" 930 1232 1316 1033 1130 1254
"55142" 1361 1215 1213 1865 1799 2679
"57519" 156 145 184 1100 1401 1629
"146059" 1149 1021 1814 1220 1307 1498
"146057" 1211 1371 1410 486 611 618
"197131" 1477 1409 1917 1538 2095 2274
"80021" 710 920 459 1058 1340 1530
"23582" 2934 2831 2480 2633 2577 3236
"2038" 24 2 6 2 0 4
"9333" 0 0 0 0 14 4
"116179" 0 0 0 2 0 0
"9836" 27 14 40 400 393 349
"161823" 71 24 29 315 307 365
"146050" 386 461 600 1318 1423 1501
"27229" 131 109 235 499 727 734
"7158" 810 553 583 1308 1261 1784
"4130" 21 18 26 203 372 241
"9677" 191 206 193 468 641 597
"1159" 0 0 0 0 0 6
"161497" 0 8 1 4 0 12
"117155" 59 17 39 145 106 99
"548596" 0 0 0 0 3 0
"440278" 4 13 8 41 29 48
"2923" 14979 11254 12938 19077 23191 29956
"80237" 81 60 88 145 149 214
"10169" 5524 3911 4107 10257 12083 13670
"100302254" 46 58 38 35 63 71
"619189" 432 411 465 175 145 262
"25764" 619 411 396 830 805 997
"4236" 344 290 357 1384 1651 1691
"79968" 72 30 46 95 159 286
"84978" 0 0 0 8 8 5
"728758" 0 0 0 2 0 11
"113201" 3451 3040 2901 3428 3559 4400
"51496" 1983 2428 2347 1289 1631 1560
"645212" 74 68 100 238 232 304
"8669" 1327 932 1035 3408 3641 4294
"80208" 2777 3528 4390 4910 5714 5397
"197135" 182 292 245 278 386 250
"567" 215699 176219 166642 126693 139332 156513
"140691" 12 20 26 9 26 18
"145645" 0 0 0 0 0 0
"6652" 736 509 419 1211 1446 1604
"50506" 0 2 0 0 6 0
"405753" 0 0 0 0 0 6
"90527" 0 0 0 0 0 0
"53905" 29 19 9 42 45 66
"90525" 14 12 17 66 99 77
"9153" 0 0 0 4 2 9
"2628" 60 26 61 1460 1740 1924
"145663" 0 0 0 0 0 2
"79029" 871 406 426 612 614 683
"84419" 269 84 64 5244 4252 5507
"100126311" 0 0 0 0 0 0
"7782" 50 62 91 177 116 187
"283651" 5 0 0 359 239 372
"26258" 4050 5436 5998 6148 6922 7807
"58472" 3136 2411 2356 14556 15355 19470
"80031" 0 0 0 0 0 0
"283652" 4 0 1 0 1 1
"50804" 56 41 41 52 46 29
"399697" 0 0 0 0 0 0
"6557" 0 0 0 0 0 0
"1854" 1407 1185 1577 1753 1699 2095
"2200" 28 2 34 33 16 46
"100506059" 0 0 0 0 0 0
"22995" 615 667 795 284 382 453
"100506104" 0 0 0 0 0 0
"399694" 0 0 0 193 26 121
"23741" 3563 3280 2654 4735 5236 6298
"9728" 4049 4810 5111 4101 4329 5724
"9318" 6998 4019 3977 2679 3000 4054
"2585" 129 139 214 879 919 1234
"100306975" 0 0 1 0 2 0
"196951" 8 6 20 17 32 29
"2252" 0 2 0 2 10 15
"56986" 167 179 181 454 428 553
"79895" 538 900 915 2786 2827 2271
"11001" 4 8 2 18 29 33
"3067" 92 131 142 6 12 33
"2553" 1165 389 399 728 831 728
"55056" 844 485 622 183 254 244
"100129387" 380 527 1081 304 333 466
"9101" 4669 5296 4504 3960 4419 4837
"373509" 1 2 6 5 5 4
"54822" 1878 2484 2641 6269 6975 8005
"84888" 2511 2372 2994 9168 9244 11097
"23431" 535 618 523 3875 2531 3758
"100132724" 37 24 30 22 12 17
"388121" 8 0 6 2198 1510 2317
"1588" 0 0 0 103 95 20
"100506192" 0 0 0 0 0 0
"342035" 0 4 0 162 341 129
"23312" 13858 16227 23024 16889 21098 23281
"29106" 16 0 6 22 34 17
"256586" 794 882 871 612 643 671
"29767" 1105 1055 2211 888 911 1033
"29766" 1274 1475 1187 5809 6440 6906
"100506227" 4 15 14 4 3 6
"123169" 122 165 199 896 1129 1160
"5597" 7281 4341 5303 4654 5184 6386
"10017" 2 2 0 0 0 0
"10681" 368 387 188 536 800 447
"100129973" 19 14 6 2 9 5
"55930" 25 76 21 38 6 26
"100302202" 0 0 0 0 0 0
"4644" 7930 6473 9361 7396 9319 10039
"10776" 4945 5179 5178 6858 8035 8626
"56204" 733 1393 794 881 1120 1159
"3175" 0 0 0 0 6 0
"256764" 0 0 0 2 0 0
"440279" 0 0 0 2 0 2
"51187" 7764 4552 4756 2569 2401 3654
"5873" 1765 2497 2153 1522 1744 2300
"100506294" 257 237 269 358 414 561
"9488" 224 293 239 420 577 552
"9236" 1917 2839 2480 6081 6091 8529
"693213" 32 96 103 1 7 20
"145788" 2 0 10 36 30 72
"161582" 14 9 13 139 158 390
"100506346" 0 0 0 6 0 3
"26108" 0 0 6 0 2 7
"283659" 0 0 1 0 0 2
"4734" 135 203 214 95 202 202
"64864" 1181 1952 1504 1308 1591 1784
"374618" 0 0 0 15 39 53
"55329" 0 0 4 21 14 26
"54816" 1030 1039 1003 839 973 872
"645877" 0 0 0 0 0 2
"145783" 52 50 73 322 341 297
"6938" 1356 1358 1507 3091 3803 4141
"283663" 274 376 332 282 255 199
"84952" 0 0 0 0 6 0
"145781" 24 15 33 22 46 42
"81488" 1235 837 820 588 645 785
"8854" 33 16 5 25525 18494 27308
"366" 5229 3186 2012 32474 23744 35184
"3990" 0 0 6 6 11 0
"102" 2956 3675 3203 9431 10294 11768
"664618" 32 23 44 0 4 0
"100506466" 0 0 4 23 8 6
"54629" 311 342 713 513 604 426
"79811" 4974 4392 5865 4900 5214 5474
"54778" 857 1640 926 2044 2534 2206
"9133" 34 4 44 247 357 677
"4643" 325 309 396 17536 18496 19023
"100313886" 3 0 0 7 15 10
"92483" 1 12 6 29 61 72
"145773" 16 4 11 281 366 390
"9245" 0 0 0 6 0 0
"2958" 1034 770 513 1979 2339 2471
"663" 10530 9422 7500 5518 6785 8326
"27023" 0 0 0 0 0 0
"302" 16402 10267 11389 106227 125873 152352
"79664" 472 389 596 773 937 1076
"6095" 606 611 528 154 228 555
"100506491" 10 10 5 0 0 7
"100506510" 0 0 0 0 0 0
"100506530" 0 0 0 0 0 0
"54832" 4735 6820 7773 7042 9814 9873
"145741" 0 4 4 0 0 0
"388125" 0 0 0 0 0 0
"100289289" 0 0 0 4 2 0
"197003" 0 0 0 6 14 0
"83660" 20 22 31 1354 1172 986
"406965" 0 0 0 0 0 0
"100506580" 0 0 0 6 2 8
"7168" 114 129 290 627 1161 907
"100128979" 0 0 0 8 0 0
"114294" 5157 4672 6099 6257 6580 9614
"51065" 654 588 369 5890 7016 7632
"51762" 9468 8459 8702 3593 4591 4179
"83464" 565 895 927 834 1163 1275
"771" 0 0 0 34 32 68
"9960" 9365 6917 7939 2707 2926 3444
"100130855" 495 747 1093 101 116 132
"283807" 0 0 0 9 5 21
"8925" 7561 10417 7632 5477 5827 5871
"494334" 0 0 0 0 0 0
"23604" 59 33 32 0 4 6
"84191" 1328 1226 1235 3856 4368 4709
"6642" 3379 3875 6259 7962 10176 11935
"79856" 28 22 66 43 42 61
"5479" 2193 1498 1622 3300 3542 4694
"53944" 679 574 1264 2000 2313 2671
"9768" 12 2 6 125 192 525
"9325" 708 519 630 1270 1623 1889
"23060" 1755 1806 2293 3878 4248 5118
"4947" 4439 4845 4827 3700 4674 3961
"348093" 0 6 5 17 12 28
"100302184" 0 0 0 0 0 0
"80119" 30 18 18 225 224 289
"80301" 11506 8672 12205 15784 17768 18946
"348094" 923 2087 1030 728 597 653
"51324" 5871 4179 4493 10930 12273 12168
"123263" 127 146 145 918 988 1091
"123264" 0 0 4 8 12 0
"51285" 0 0 0 0 0 0
"390594" 0 0 0 0 0 0
"390595" 84 85 145 40 55 49
"10081" 502 520 458 1080 1057 1157
"10845" 1882 1739 2088 1891 2443 2727
"8483" 2 2 10 4 10 13
"54956" 334 188 298 379 385 518
"26831" 6 3 8 47 24 39
"26832" 0 2 0 9 2 5
"9543" 0 0 0 2 0 0
"57722" 0 8 0 57 48 53
"54878" 1151 1889 1784 1959 2166 2616
"51495" 239 225 326 3098 3482 4212
"81556" 569 483 600 1247 1240 1670
"9187" 113 218 226 491 458 589
"10260" 2468 3358 3047 1083 1202 1284
"8766" 2119 1644 1695 5146 6117 7329
"84465" 0 6 0 25 29 16
"100422905" 0 0 0 0 0 0
"115752" 766 905 1005 1581 1511 1794
"54962" 90 51 57 147 182 218
"692149" 0 0 0 0 0 0
"5604" 9969 2791 3378 4646 4792 6752
"10302" 93 81 98 379 431 455
"6124" 79319 61339 54265 32043 35521 49428
"595100" 19 16 18 19 40 29
"595099" 1 15 7 4 9 5
"595097" 7 22 20 23 27 2
"595098" 8 0 2 2 2 0
"55055" 86 122 139 416 551 600
"197021" 0 0 0 3 2 7
"4091" 428 1134 402 24 16 41
"4088" 9074 11597 6083 50 251 58
"79719" 1694 1125 2067 1301 1653 1837
"64799" 0 0 5 4 14 17
"100506686" 103 91 121 128 173 202
"145853" 100 121 146 113 100 162
"5607" 632 664 651 741 880 1176
"390598" 106 125 148 25 20 43
"26827" 0 0 0 0 0 0
"8554" 1691 2535 2319 1531 1839 2180
"91860" 1010 1143 1305 1274 1707 1706
"54982" 1643 936 1292 3769 3994 5735
"10116" 3701 2952 3954 3806 3780 4323
"22801" 0 0 4 102 123 81
"10391" 1 0 11 110 85 119
"8125" 5520 6981 5161 4484 4718 5926
"100422971" 53 59 82 20 14 28
"80035" 559 767 842 194 266 207
"79400" 0 0 0 0 16 14
"246777" 4 14 2 14 96 42
"283673" 0 0 0 0 4 0
"26035" 187 168 348 1327 1482 1495
"54852" 0 0 4 5355 2484 5171
"145694" 0 0 0 57 22 47
"9493" 12 20 2 431 321 624
"6176" 62300 43883 40804 38517 37019 51434
"145837" 0 0 0 0 2 0
"414926" 2 0 8 0 0 0
"7090" 50505 25667 30738 4521 4622 5484
"693214" 4 0 3 0 0 0
"55075" 277 180 374 405 547 801
"55323" 0 10 0 10 0 12
"56906" 2 0 0 34 35 34
"54839" 0 0 6 6 4 31
"196993" 0 0 0 0 0 0
"79875" 0 0 0 0 0 2
"10002" 0 0 10 2 0 8
"4649" 591 324 561 1274 1569 1713
"123228" 0 1 10 104 97 86
"196996" 0 1 0 8 1 12
"5315" 28969 27996 23563 135115 145878 148743
"56965" 4872 4111 4227 3066 2958 3443
"60677" 109 233 202 439 553 675
"3073" 5778 3812 4033 9126 12078 17077
"80072" 49 27 54 113 184 238
"338949" 0 0 0 0 0 0
"100130579" 0 0 0 0 0 0
"25820" 5635 6848 5372 3363 3772 4397
"693215" 25 18 17 4 8 5
"100129119" 1 11 8 6 10 0
"646670" 0 0 0 0 0 0
"55889" 0 4 6 2 3 6
"100506212" 0 0 0 0 0 0
"123346" 0 0 0 0 0 0
"585" 215 242 239 705 810 839
"83440" 7023 6590 6971 6641 7985 10508
"100287559" 78 105 193 110 126 153
"4756" 32 22 19 40 28 46
"10021" 0 0 0 0 0 2
"283677" 0 1 1 10 4 11
"27020" 2412 2233 2360 11713 12195 14591
"80381" 10 0 12 24541 23981 27831
"388135" 0 0 0 0 0 0
"161514" 0 0 0 0 0 0
"100287616" 16 19 26 0 0 6
"4016" 188 44 114 0 0 0
"9399" 113 42 126 278 243 298
"5371" 3034 4324 4717 3317 4599 3272
"342096" 0 6 2 0 0 2
"732265" 0 0 0 0 0 0
"283731" 0 0 0 0 0 0
"57611" 0 0 0 0 2 0
"3671" 0 0 0 0 0 0
"64220" 0 0 0 0 1 0
"80125" 0 0 0 0 0 0
"1583" 0 4 0 0 0 0
"729739" 0 0 0 0 0 0
"8482" 449 310 727 3231 3460 3485
"84993" 1198 678 795 1575 1768 1896
"440288" 80 91 107 160 117 132
"10620" 5959 4385 5753 832 1089 1578
"1198" 5323 3767 4493 1326 1482 1575
"80153" 168 214 224 1532 1809 1996
"1543" 2 0 0 1 0 0
"1544" 0 1 1 0 0 0
"1445" 10913 13328 13576 9591 11737 11605
"79748" 8 4 10 2 9 0
"594855" 7 0 2 2 4 0
"25989" 1691 1899 1963 2548 2887 3725
"10066" 3476 3589 3369 8005 9431 10198
"4351" 318 192 279 792 1012 1045
"57184" 1000 1060 1048 2297 2761 3640
"9377" 3463 2214 2471 4815 5518 7284
"54913" 56 29 29 1561 1619 2078
"192683" 27 23 20 91 136 189
"60490" 583 423 453 387 439 556
"56905" 29576 19359 19946 2677 3848 4210
"653641" 4 4 10 0 4 6
"653643" 0 0 0 3 0 0
"54939" 537 364 366 2047 2378 2462
"79661" 448 543 699 336 405 532
"693216" 29 48 34 18 23 24
"4123" 14487 11849 11443 7905 8289 9520
"25942" 3201 3582 3840 1842 1962 2030
"5780" 1669 1411 1526 3139 3291 4246
"100506579" 0 6 5 0 10 0
"10073" 289 273 300 1278 1543 1632
"55272" 634 483 715 2380 2496 2982
"257364" 342 261 451 1100 1138 1472
"1464" 18 17 28 1061 1179 1396
"161753" 0 0 10 15 26 25
"100128285" 2 22 16 68 67 69
"100423035" 0 1 3 0 0 0
"441728" 0 0 0 0 6 0
"92912" 3943 3472 3736 2274 2478 3262
"26263" 161 141 215 1066 1194 1244
"692224" 0 0 0 0 0 0
"145957" 16 49 28 38 50 34
"123591" 0 6 0 96 125 210
"2108" 882 800 699 3785 4464 5702
"7302" 10 6 0 4 0 3
"64843" 6 34 72 19 36 54
"49855" 521 360 543 218 346 368
"5955" 315 262 188 831 886 978
"100506704" 2 0 0 0 0 0
"9051" 4796 5195 5976 5420 5623 6473
"10099" 1892 3476 3416 6709 7525 9736
"79834" 1068 1701 1664 1723 2793 2695
"81698" 0 0 4 0 6 0
"646853" 0 0 0 0 0 0
"10363" 630 829 763 1040 1321 1539
"84894" 0 0 0 3 10 2
"645752" 1 0 0 6 4 2
"440292" 0 0 0 10 0 1
"91450" 0 34 16 19 25 39
"23102" 3379 7265 7308 6359 7323 9808
"646892" 0 0 0 2 0 2
"10518" 20 5 0 43 23 20
"3419" 1862 1840 2496 3320 3013 3398
"23205" 2 6 11 2 0 0
"55466" 406 404 563 1189 1413 1417
"80349" 660 525 557 1271 1313 1428
"1381" 0 0 0 0 0 0
"3658" 3384 5888 4518 4224 5266 5798
"123688" 0 0 0 0 0 12
"5685" 1517 1871 1570 4480 5325 6367
"1138" 0 10 10 29 17 81
"1136" 0 2 2 11 39 16
"1143" 0 0 0 0 0 0
"646934" 0 0 0 0 0 0
"646938" 0 0 0 0 0 0
"11173" 0 0 0 17 31 0
"10933" 11960 8017 8524 9030 10598 12350
"1512" 15354 11264 8336 26401 35307 29599
"5923" 2 4 6 249 550 785
"729911" 0 0 0 0 0 0
"406960" 0 0 0 0 0 0
"100506846" 0 0 0 0 0 0
"390616" 0 0 0 0 0 0
"23423" 1577 940 998 4353 4762 6699
"23251" 16 24 34 113 90 110
"10588" 363 249 153 1355 906 1153
"400410" 62 21 60 344 278 368
"283687" 226 258 263 602 598 906
"597" 6090 3845 4192 6417 6863 10130
"54469" 3029 3628 2934 3870 4186 5109
"2184" 383 348 214 705 939 1239
"283688" 0 0 0 0 0 0
"9915" 6 0 0 14 18 26
"100133746" 0 0 0 0 0 0
"58489" 592 35 103 261 196 237
"57214" 7 57 44 176 118 150
"693132" 0 0 0 0 0 0
"23184" 528 565 382 3609 4464 5238
"59274" 5696 3276 2625 2729 3345 3370
"647020" 0 0 2 2 0 0
"161502" 5 2 0 3 2 2
"3603" 3619 2924 2448 3057 4145 4044
"80765" 500 178 150 198 195 413
"100506942" 4 0 1 0 6 7
"342125" 5 10 7 5 2 13
"84206" 365 215 217 674 551 590
"79631" 335 288 329 1272 1541 1698
"283726" 0 26 0 4 99 0
"390660" 0 0 0 0 0 0
"647042" 0 0 0 3 2 1
"100134869" 0 0 0 0 0 0
"440295" 14 1 4 6 0 3
"440297" 0 2 0 6 0 0
"80154" 2 0 0 0 0 0
"6218" 177 115 92 112 96 109
"643696" 0 2 2 0 0 2
"727751" 2 0 0 2 0 1
"100133144" 0 0 0 0 0 0
"727849" 2 18 0 3 0 2
"100288549" 0 0 0 0 0 0
"100505503" 149 69 62 55 60 80
"64506" 0 0 0 27 11 22
"8120" 733 0 0 559 6 49
"338963" 0 0 0 0 0 0
"283693" 0 4 13 25 8 8
"100505616" 166 136 158 59 31 41
"677778" 0 0 0 4 9 3
"123722" 0 16 1 0 0 0
"123720" 3817 3207 3874 1510 1366 1883
"100505647" 8 0 2 51 60 112
"9455" 160 22 13 404 1304 1401
"83640" 151 135 163 218 274 306
"123207" 256 211 110 484 526 693
"53339" 2635 3282 3654 5855 7278 7661
"53346" 523 673 501 3295 4369 4506
"100505661" 0 14 0 10 15 8
"50810" 124 112 110 179 191 172
"646" 0 0 0 0 0 0
"6457" 0 0 0 0 0 0
"57188" 0 0 0 0 3 0
"100505780" 0 0 0 0 0 0
"440299" 0 0 0 0 0 0
"100505679" 0 0 0 0 4 8
"440300" 0 0 0 5 6 8
"388152" 4 2 4 3 0 8
"100288367" 0 0 0 0 0 0
"374650" 108 99 143 262 236 308
"388165" 75 103 68 116 145 220
"100506874" 0 1 0 8 7 33
"54993" 265 193 227 182 239 209
"54581" 506 597 656 822 749 823
"84942" 403 356 552 961 938 1081
"4828" 85 37 44 283 298 447
"23478" 7222 5487 4993 5209 5264 7448
"9640" 6423 9529 9335 4555 5033 5544
"57538" 38 39 46 195 155 190
"9154" 0 0 0 0 0 0
"5151" 1513 2120 1815 2891 3125 2916
"642423" 0 0 4 0 3 4
"100133220" 6 2 5 0 0 10
"11214" 20179 15266 23609 14701 16328 15706
"64410" 173 133 256 120 119 139
"100302121" 0 13 6 0 0 0
"123624" 0 0 0 0 4 0
"145978" 0 0 0 0 0 0
"4916" 0 0 0 6 4 0
"283738" 0 0 0 0 0 0
"26589" 66 69 56 667 648 779
"64963" 345 365 302 1106 1206 1412
"55070" 39 33 50 335 341 364
"100302235" 0 0 0 0 0 0
"407044" 0 0 0 0 0 0
"64782" 1513 340 588 2350 3014 2794
"3669" 410 285 291 81 66 28
"176" 0 8 14 0 2 0
"145864" 252 244 1513 31 62 78
"4240" 95 92 223 1072 1289 2528
"11057" 6854 10521 6779 21857 25242 32586
"6017" 18 27 25 14 20 18
"55215" 409 498 422 256 281 550
"5428" 2100 1888 2146 4961 5190 6209
"100506983" 4 0 0 1 15 2
"407051" 0 0 0 0 0 0
"254559" 36 19 35 2 0 6
"51458" 0 0 0 4 8 4
"283761" 0 0 0 0 0 0
"90381" 8 0 0 56 61 145
"374654" 0 4 0 10 14 0
"643368" 0 0 0 0 0 0
"5346" 7 0 2 6 2 16
"8800" 0 0 2 63 82 151
"56964" 0 0 1 2 6 4
"55897" 38 17 29 52 18 60
"145873" 0 4 0 3 10 13
"290" 20506 21599 23942 30687 33263 41927
"10239" 1673 2023 1589 2145 2584 2941
"100507010" 420 405 524 622 764 747
"348110" 1313 1258 1405 1961 2620 2411
"100422841" 14 14 6 13 5 0
"374655" 2779 2867 3406 4033 5504 3985
"3418" 3054 3193 2471 5748 7478 7750
"10509" 679 1019 1106 769 835 748
"10519" 4664 4158 4493 3383 3873 4856
"390637" 18 18 10 131 137 105
"440307" 7 21 13 13 27 0
"51335" 1266 1170 1420 2035 2294 2720
"100507029" 81 131 99 78 68 95
"23766" 1 0 0 0 6 0
"342132" 0 4 2 28 12 10
"8826" 6973 10274 7874 29966 44844 49212
"64784" 3826 4010 3802 2990 3371 3740
"100507079" 0 20 14 9 0 0
"641" 98 37 120 104 181 297
"5045" 40088 26944 22332 20041 22039 24927
"2242" 5886 3443 4576 2850 3885 3060
"4122" 15695 15075 15464 7302 8331 10169
"55898" 699 600 664 2902 2986 3259
"374659" 158 130 111 533 524 723
"100288997" 29 14 10 7 9 37
"91433" 122 61 103 569 660 680
"9055" 534 335 271 212 264 694
"100507118" 24 8 30 22 6 13
"26276" 1122 1200 1256 1093 1369 1315
"100131297" 0 0 0 0 0 0
"390638" 0 0 0 0 0 0
"9899" 0 0 0 27 81 44
"28232" 5580 5125 4178 2915 2734 3267
"8128" 0 0 0 0 0 0
"100507166" 0 0 0 0 0 0
"145858" 0 0 0 0 0 0
"100144604" 0 0 0 0 0 0
"400451" 40 26 31 48 90 47
"643797" 10 8 30 4 0 4
"643806" 0 0 0 0 0 0
"728619" 0 8 0 13 6 8
"100506727" 847 896 671 76 88 90
"100507217" 0 0 0 0 0 0
"1106" 20401 27824 17701 5149 6404 7642
"100422995" 28 16 13 0 3 0
"56963" 103 12 57 14 12 8
"400454" 0 0 0 0 0 0
"55784" 337 320 640 11 18 42
"400456" 0 0 0 0 0 0
"145820" 0 0 0 0 0 0
"100507311" 0 0 0 0 0 0
"100507288" 0 0 0 0 0 0
"644192" 0 0 0 0 0 0
"100506754" 0 0 0 0 0 0
"7026" 0 0 0 0 4 0
"100302258" 0 0 0 0 0 0
"728800" 0 0 0 0 0 0
"100507325" 0 0 0 0 0 0
"145946" 0 0 0 0 0 0
"91948" 0 0 0 0 0 10
"91947" 6698 8229 12277 4162 5472 6443
"283777" 0 0 0 2 0 0
"3480" 993 1121 2357 1364 1412 2681
"145814" 2 0 0 0 0 0
"23336" 6 31 80 89 63 100
"64927" 19 26 24 417 478 787
"123355" 306 309 306 670 679 932
"4205" 3729 5707 4799 9775 11558 13786
"145748" 236 122 293 363 427 604
"196968" 0 0 8 14 14 0
"644800" 0 0 0 0 0 0
"400464" 26 6 4 32 38 20
"170691" 27 3 6 5 6 2
"388182" 8 2 0 6 8 5
"204219" 8 0 6 2 2 0
"55180" 233 367 296 498 674 620
"140460" 1629 2039 1750 785 844 1008
"440313" 0 0 0 0 0 0
"145757" 0 0 0 6 0 0
"220" 0 6 1 6 4 6
"100507452" 0 8 1 28 42 36
"79705" 2548 3154 3061 2035 2789 2548
"22856" 8908 6158 3883 2728 3154 2585
"55829" 1903 974 945 2454 2748 3171
"6627" 2930 2528 2964 1353 1649 1768
"5046" 16 6 12 1524 1480 2573
"80213" 734 644 587 870 988 1128
"123283" 302 261 302 441 377 546
"441736" 0 0 4 7 2 5
"100507518" 0 0 0 0 0 0
"390648" 0 0 0 0 0 0
"390649" 0 0 0 0 0 0
"100272148" 0 0 0 0 0 0
"26682" 0 0 0 0 0 0
"100124412" 0 0 0 0 0 0
"100302278" 0 0 0 0 0 0
"374666" 2207 2360 2670 1168 1622 1784
"100288486" 6 0 4 0 0 6
"100287029" 15 0 7 0 0 4
"100132169" 0 0 0 0 0 0
"51728" 164 199 196 692 790 997
"79622" 244 206 221 596 837 968
"64285" 36 16 29 740 1294 1195
"4350" 1823 1174 1378 2892 3510 5122
"8131" 791 797 960 1064 1382 1617
"3050" 16 1 2 0 2 0
"3042" 20 0 13 0 0 0
"3040" 7601 1108 3223 8 0 4
"3039" 661 210 369 0 2 0
"3049" 0 16 0 2 2 0
"55692" 2571 2298 2861 1303 1303 1580
"100129478" 0 0 1 8 14 7
"83986" 1506 1572 1256 2424 3010 4055
"8786" 23 1 20 7 6 39
"398" 0 0 0 0 0 0
"64714" 0 0 0 0 0 0
"8312" 2273 2639 2409 2549 2938 3469
"10573" 1651 1401 1140 1514 1745 2448
"58986" 5059 3817 3528 9395 9984 11821
"100134368" 28 57 25 61 37 35
"4833" 450 745 485 1177 1818 2366
"26063" 267 245 322 355 522 601
"9727" 572 742 635 865 1077 1138
"64493" 2 10 2 20 14 26
"6650" 3483 3717 4180 4100 4772 5350
"100507047" 135 146 148 144 228 231
"100423037" 18 46 9 44 26 39
"146325" 3 16 10 0 0 8
"283948" 22 0 0 21 46 68
"9091" 1266 1078 1008 2140 2003 2835
"57799" 1549 2126 1346 1379 1442 1512
"117166" 31 50 28 25 45 22
"84326" 1074 915 723 924 1158 1047
"100287175" 12 0 8 17 14 0
"100130285" 0 3 8 8 9 14
"84331" 1800 1929 1434 2145 2157 2933
"100507146" 10 12 3 7 6 9
"197335" 668 848 859 688 891 906
"100507167" 138 139 148 148 86 199
"89941" 6561 6798 5794 4570 5339 5854
"9028" 334 418 338 52 71 73
"10273" 1434 1062 964 1999 2313 2809
"339123" 806 777 563 986 1135 1214
"84219" 266 458 372 1003 1072 1209
"146330" 52 79 99 406 134 220
"100287301" 14 0 6 38 9 15
"79006" 84 56 71 650 563 608
"65990" 780 607 615 1283 1474 1812
"124093" 26 42 68 225 295 265
"84264" 173 115 127 1352 2022 2716
"64428" 473 705 458 1488 1610 1728
"10232" 0 0 2 0 0 0
"401827" 10 1 10 2 0 0
"724032" 0 0 0 0 0 0
"113000" 1487 1274 1358 1542 1497 1896
"63922" 696 508 686 459 474 738
"51764" 0 2 0 3 4 16
"388199" 0 8 2 30 27 2
"64788" 314 234 350 591 572 950
"30812" 6 2 0 91 61 73
"146336" 0 0 0 0 0 0
"6755" 0 0 0 0 0 0
"390664" 0 0 0 0 0 0
"100128785" 0 0 0 0 0 0
"8912" 6 8 11 0 0 0
"25823" 0 0 0 0 0 0
"64499" 0 4 0 0 0 0
"7177" 0 0 0 6 0 10
"23430" 0 0 0 0 0 0
"7329" 4571 4511 4876 4498 4802 5172
"8938" 178 110 89 16 20 24
"115939" 1092 743 828 1640 1735 2157
"84572" 3595 2596 2949 4731 4680 6121
"64718" 927 1638 1512 618 631 937
"283951" 82 142 142 392 361 458
"645811" 169 213 308 335 363 284
"1186" 12105 19265 14100 15426 17485 18699
"390667" 0 4 2 0 0 0
"9894" 1429 1372 1395 1484 1940 2018
"9742" 157 330 317 346 394 562
"79652" 8 1 61 18 9 11
