"A1" "A2" "A3" "B1" "B2" "B3"
"84275" 1967 726 1189 1043 998 1273
"199953" 563 493 670 818 903 1037
"5293" 9530 19176 21131 4564 6973 6765
"644997" 19 20 47 3 20 22
"22883" 4568 4360 4562 6963 8716 8519
"645010" 2 0 0 0 0 0
"56998" 1906 2151 1587 1485 1933 2216
"84328" 339 308 349 928 1160 1398
"64802" 165 104 286 955 1075 1396
"116362" 1762 1520 1331 68 109 218
"10277" 2753 2479 3136 3636 3800 4953
"23095" 3552 3090 2805 8024 8183 8718
"100287506" 5 16 23 6 15 16
"5226" 17600 14513 14197 28555 29775 35910
"378708" 5 14 22 158 204 301
"1325" 0 0 10 3 0 6
"1676" 387 210 278 1306 1189 1417
"5195" 389 474 260 2358 2804 3370
"54897" 753 311 578 515 415 461
"148345" 118 118 112 95 202 131
"23435" 3484 4087 5278 5856 6588 7939
"10747" 489 613 874 193 265 273
"6723" 1071 834 873 3183 2773 3924
"5394" 2379 2503 3309 3175 3465 4077
"2475" 1930 1854 2156 4058 3963 4927
"10218" 0 0 18 2 0 0
"29914" 334 381 445 813 919 1258
"57540" 10 0 0 0 2 0
"26232" 0 0 0 6 6 20
"93611" 567 518 647 697 953 1001
"26270" 703 734 975 2028 2314 2552
"10459" 1552 1291 1582 1047 930 1350
"374946" 12 8 19 56 58 56
"100506086" 14 0 6 67 71 78
"57085" 8187 4895 6350 5307 5017 5903
"100506273" 0 6 0 0 0 0
"284498" 16 31 31 0 0 0
"100506310" 8 19 2 0 0 0
"100506116" 0 0 0 0 0 0
"4524" 4963 12450 11035 4060 4964 4190
"1185" 2836 6088 4111 2440 3349 2970
"4878" 30 96 80 78 223 160
"4879" 0 5 6 4 0 0
"26829" 6 0 0 0 0 1
"90231" 3666 3242 3447 4667 4662 6204
"5351" 2730 1656 2305 6469 7590 9658
"9927" 4324 5163 5756 7761 9137 10333
"60672" 2529 2126 2651 2034 2606 2615
"943" 293 198 169 22 28 12
"7133" 68174 69822 34521 10416 13013 12971
"55187" 2749 3990 3450 3880 4700 5321
"677885" 0 2 13 16 9 14
"9249" 1139 1157 361 677 436 513
"343066" 0 0 0 0 0 0
"126767" 0 0 0 0 0 0
"93190" 0 0 0 0 0 0
"390999" 0 0 0 0 0 0
"65121" 0 0 0 0 0 0
"440560" 0 0 0 0 0 0
"343069" 0 0 0 0 0 0
"65122" 0 0 0 0 0 0
"400735" 0 0 0 0 0 0
"343071" 0 0 0 0 0 0
"441871" 0 0 0 0 0 0
"440561" 0 0 0 0 0 0
"653606" 0 0 0 0 0 0
"729368" 0 0 0 0 0 0
"441873" 0 0 0 0 0 0
"440563" 0 0 0 0 0 0
"645359" 0 0 0 0 0 0
"401940" 0 0 0 0 0 0
"343068" 0 0 0 0 0 0
"391002" 0 0 0 0 0 0
"343070" 0 0 0 0 0 0
"400736" 0 0 0 0 0 0
"391003" 0 0 0 0 0 0
"654348" 0 0 0 0 0 0
"391001" 0 0 0 0 0 0
"729516" 0 0 0 0 0 0
"653619" 0 0 0 0 0 0
"729528" 0 0 0 0 0 0
"645414" 0 0 0 0 0 0
"391004" 0 0 0 0 0 0
"645425" 0 0 0 0 0 0
"126755" 0 0 0 0 0 0
"10630" 0 0 0 354 100 75
"7799" 5400 6055 11408 2147 2477 2700
"23254" 4 0 6 219 213 444
"200197" 0 0 4 29 26 22
"55092" 248 213 281 1352 1489 1616
"114827" 22 22 54 13 19 14
"79180" 42952 32780 32766 16193 17391 19103
"11330" 30 83 58 12 6 14
"63036" 4 2 0 0 2 0
"51032" 149 73 48 16 23 16
"842" 5011 1108 1453 760 731 851
"23341" 408 465 302 1172 1180 1268
"100507192" 0 0 0 0 2 0
"79814" 25 1 11 26 20 20
"645317" 0 1 1 12 43 25
"84301" 518 377 436 890 875 1042
"6248" 291 214 235 486 505 716
"23207" 18122 13666 14857 13300 15759 17109
"284723" 444 291 484 348 372 392
"388595" 0 0 0 0 0 0
"54751" 0 0 0 4 16 12
"440567" 134 43 48 139 182 261
"729614" 200 97 154 175 197 174
"23013" 13712 15409 13892 7672 8079 7940
"7709" 4934 2716 3993 1522 1697 2123
"149563" 0 0 0 0 0 0
"27129" 0 0 0 5 430 10
"1187" 4 6 0 9 76 5
"1188" 0 0 0 0 0 0
"348487" 0 0 0 6 0 0
"1969" 42 0 4 105 199 79
"100506484" 0 0 0 0 0 2
"128272" 237 67 166 231 244 280
"79363" 228 213 213 81 136 108
"54455" 1368 1564 1049 1603 2040 2201
"26099" 10590 7887 9654 10582 12408 12937
"374955" 16 30 13 0 0 5
"55707" 1710 1832 2250 6761 8444 9508
"114819" 176 341 399 242 340 345
"26871" 0 0 0 6 5 3
"100506533" 0 0 0 0 0 0
"100133301" 0 0 0 0 0 0
"55672" 368 579 553 1546 2109 2023
"84809" 648 943 1102 646 969 952
"11209" 20 70 42 93 121 93
"26869" 0 0 0 0 0 0
"729574" 0 0 0 0 0 0
"284729" 24 0 0 2 0 2
"729587" 0 0 0 0 0 0
"6060" 0 0 0 1 1 0
"11223" 17 15 28 34 9 66
"100506687" 209 76 142 284 242 377
"26870" 0 0 0 8 1 6
